id,account_id,name,position,ownerEl,slave,income_list,code,level,ind_nature,creditor,debtor,has_sub,is_sub,ind_to_cost,ind_analysis,ind_added_date,ind_others,coin_id,index_company_id,barcode,buy_value,prev_damage,net_value,working_date,buy_date,annual_damage_rate,age,damage_type
56,1,جاري الشركاء,1,54,...,0,302,2,,0,0,1,...,0,0,9/12/2023 20:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,1,الحاج احمد,1,56,...,0,30201,3,,0,0,0,...,0,0,9/12/2023 20:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,1,الحاج حسين,1,56,...,0,30202,3,,0,0,0,...,0,0,9/12/2023 20:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,1,المصروفات,3,0,...,0,4,1,,0,0,,...,,0,9/12/2023 20:09,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,1,المصروفات الاداريه والبيعيه,0,59,...,0,401,2,,0,0,,...,0,0,9/22/2023 19:11,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,1,المرتبات,0,60,...,0,40101,3,,0,0,1,...,0,0,9/12/2023 20:12,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,1,الشركة,1,61,...,0,4010101,4,,0,0,0,...,0,0,9/12/2023 20:12,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,1,المكتب العلمي,1,61,...,0,4010102,4,,0,0,0,...,0,0,9/12/2023 20:13,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,1,مكتب التطوير,1,61,...,0,4010103,4,,0,0,0,...,0,0,9/12/2023 20:13,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,1,مكتب الاستيراد,1,61,...,0,4010104,4,,0,0,0,...,0,0,9/12/2023 20:13,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,1, * الإيجارات,1,60,...,0,40102,3,,0,0,1,...,0,0,10/7/2024 19:18,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,1,مكتب التوفيقية,1,66,...,0,4010201,4,,0,0,0,...,0,0,9/12/2023 20:13,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,1,مخزن شارع الجيش,1,66,...,0,4010202,4,,0,0,0,...,0,0,9/12/2023 20:13,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,1,مخزن ح/اسماعيل,1,66,...,0,4010203,4,,0,0,0,...,0,0,9/12/2023 20:14,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,1,مخزن سيد,1,66,...,0,4010204,4,,0,0,0,...,0,0,9/12/2023 20:14,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,1,شقة رجب,1,66,...,0,4010205,4,,0,0,0,...,0,0,9/12/2023 20:14,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,1,المواصلات و الإنتقالات,2,60,...,0,40103,3,,0,0,0,...,0,0,9/12/2023 20:14,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,1, * مواصلات وانتقالات الشركة ,0,72,...,0,4010301,4,,0,0,1,...,0,0,10/7/2024 19:17,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,1,مواصلات وانتقالات -  الدفتر,1,73,...,0,401030101,5,0,0,0,0,...,0,0,11/4/2024 12:07,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,1,مواصلات وانتقالات -  ناجح,1,73,...,0,401030102,5,0,0,0,0,...,0,0,11/4/2024 12:07,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,1,مواصلات وانتقالات -  احمد سلامه,1,73,...,0,401030103,5,0,0,0,0,...,0,0,11/4/2024 12:07,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,1,مواصلات وانتقالات - عمال مخازن مسطرد,1,73,...,0,401030104,5,0,0,0,0,...,0,0,11/4/2024 12:07,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,1,مواصلات وانتقالات - عمال مخزن ش.الجيش,1,73,...,0,401030105,5,0,0,0,0,...,0,0,11/4/2024 12:08,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,1,مواصلات وانتقالات -  اسلام,1,73,...,0,401030106,5,0,0,0,0,...,0,0,11/4/2024 12:07,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,1,مواصلات وانتقالات -  حسام ,1,73,...,0,401030107,5,0,0,0,0,...,0,0,11/4/2024 12:07,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,1, المكتب العلمي -مواصلات وانتقالات,1,72,...,0,4010302,4,,0,0,0,...,0,0,11/4/2024 10:17,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,1, مكتب الاستيراد -مواصلات وانتقالات,2,72,...,0,4010303,4,,0,0,0,...,0,0,11/4/2024 10:17,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,1, مكتب التطوير -مواصلات وانتقالات,3,72,...,0,4010304,4,,0,0,0,...,0,0,11/4/2024 10:17,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,1,مواد تعبئه وتغليف,3,60,...,0,40104,3,,0,0,,...,,0,9/12/2023 20:17,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,1,   *  مواد تعبئة وتغليف الشركه,0,84,...,0,4010401,4,,0,0,1,...,0,0,10/7/2024 19:19,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,1,تعبئة وتغليف - الدفتر,1,85,...,0,401040101,5,0,0,0,0,...,0,0,11/4/2024 11:37,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,1,تعبئة وتغليف - ناجح ,1,85,...,0,401040102,5,0,0,0,0,...,0,0,11/4/2024 11:37,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,1,تعبئة وتغليف -احمد سلامه,1,85,...,0,401040103,5,0,0,0,0,...,0,0,11/4/2024 11:37,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,1,تعبئة وتغليف - مخازن مسطرد,1,85,...,0,401040104,5,0,0,0,0,...,0,0,11/4/2024 11:37,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,1, تعبئة وتغليف - مخزن ش.الجيش,1,85,...,0,401040105,5,0,0,0,0,...,0,0,11/4/2024 11:37,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,1,تعبئة وتغليف - اسلام,1,85,...,0,401040106,5,0,0,0,0,...,0,0,11/4/2024 11:37,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,1,تعبئة وتغليف - حسام ,1,85,...,0,401040107,5,0,0,0,0,...,0,0,11/4/2024 11:37,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,1, المكتب العلمي -تعبئة وتغليف,1,84,...,0,4010402,4,,0,0,0,...,0,0,11/4/2024 10:17,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,1, مكتب الاستيراد -تعبئة وتغليف,2,84,...,0,4010403,4,,0,0,0,...,0,0,11/4/2024 10:18,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,1, مكتب التطوير -تعبئة وتغليف,3,84,...,0,4010404,4,,0,0,0,...,0,0,11/4/2024 10:18,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,1,إصلاح المكياج,4,60,...,0,40105,3,,0,0,,...,,0,9/12/2023 20:19,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,1, *  *  اصلاح مكياج الشركه,0,96,...,0,4010501,4,,0,0,1,...,0,0,10/7/2024 19:21,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,1,اصلاح مكياج -  مخزن مسطرد,1,97,...,0,401050101,5,0,0,0,0,...,0,0,11/4/2024 12:17,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,1,اصلاح مكياج -  مخزن الجيش ,1,97,...,0,401050102,5,0,0,0,0,...,0,0,11/4/2024 12:17,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,1,أدوات نظافه,5,60,...,0,40106,3,,0,0,,...,,0,9/12/2023 20:20,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,1, *  *  مستلزمات نظافة الشركه,0,100,...,0,4010601,4,,0,0,1,...,0,0,10/7/2024 19:22,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,1,مستلزمات نظافة - الدفتر,1,101,...,0,401060101,5,0,0,0,0,...,0,0,11/4/2024 11:31,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,1,مستلزمات نظافة - ناجح ,1,101,...,0,401060102,5,0,0,0,0,...,0,0,11/4/2024 11:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,1,مستلزمات نظافة -احمد سلامه,1,101,...,0,401060103,5,0,0,0,0,...,0,0,11/4/2024 11:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,1,مستلزمات نظافة - مخازن مسطرد,1,101,...,0,401060104,5,0,0,0,0,...,0,0,11/4/2024 11:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,1,مستلزمات نظافة - مخزن شارع الجيش,1,101,...,0,401060105,5,0,0,0,0,...,0,0,11/4/2024 11:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,1,مستلزمات نظافة - اسلام,1,101,...,0,401060106,5,0,0,0,0,...,0,0,11/4/2024 11:31,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,1,مستلزمات نظافة - حسام ,1,101,...,0,401060107,5,0,0,0,0,...,0,0,11/4/2024 11:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,1, المكتب العلمي -مستلزمات نظافة,1,100,...,0,4010602,4,,0,0,0,...,0,0,11/4/2024 10:15,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,1, مكتب الاستيراد -مستلزمات نظافة,2,100,...,0,4010603,4,,0,0,0,...,0,0,11/4/2024 10:15,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,1, مكتب التطوير -مستلزمات نظافة,3,100,...,0,4010604,4,,0,0,0,...,0,0,11/4/2024 10:16,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
